,Positive,Negative
0,tip,get
1,program,people
2,leftist,black
3,ready,would
4,retired,one
5,stupidity,like
6,isi,white
7,leviwood,obama
8,though,say
9,price,want
10,liberal,country
11,radical,woman
12,keep,make
13,racing,illegal
14,legitimate,illegals
15,answer,law
16,smart,know
17,skin,liberal
18,connectcut,gay
19,sickness,muslim
20,defect,work
21,stability,never
22,property,mean
23,bureaucrat,go
24,tyrone,think
25,sharp,need
26,army,vote
27,possessed,man
28,want,right
29,drive,good
30,invite,lgrngreen
31,bunnysmind,take
32,pit,look
33,muslims,food
34,room,care
35,cau,let
36,life,wiltonmanors
37,downtown,america
38,recognize,ca
39,identifies,ship
40,arm,blm
41,story,come
42,deceptive,democrat
43,body,person
44,college,action
45,bludgeon,back
46,american,rxwhitmer
47,historyrepeatsitself,keep
48,jarrett,call
49,immoral,killterrists
50,evidently,pedophile
51,word,name
52,aureliano,really
53,rid,citizen
54,attention,trump
55,source,professorheisenberg
56,mental,stamp
57,degradation,time
58,appropriate,navy
59,attend,first
60,math,terrorist
61,commit,american
62,vote,see
63,conflict,religion
64,group,problem
65,btw,quickfix
66,pc,bad
67,beast,many
68,potential,affirmative
69,road,life
70,regard,thing
71,blacklivesmatter,way
72,ape,nothing
73,predate,maybe
74,rather,already
75,davidhartwell,alien
76,endpcinamerica,use
77,nearly,even
78,archangeljack,job
79,witch,privilege
80,selective,understand
81,refugee,support
82,critically,cbellweather
83,kdlnola,could
84,promise,matter
85,store,perversion
86,manchurian,criminal
87,ratherbefishing,michelle
88,jesus,german
89,survive,give
90,joesnow,racist
91,turnhearts,diversity
92,pd,pay
93,apologist,live
94,hollywright,true
95,hold,year
96,despotic,lady
97,homeless,feminist
98,terrorist,help
99,unskilled,also
100,lewinski,sense
101,important,slave
102,whole,allow
103,relation,uss
104,evil,stop
105,ship,group
106,force,larjass
107,rocker,israel
108,problem,milk
109,savemurica,islam
110,loan,oharaj
111,spending,consider
112,refuse,jew
113,methuen,yes
114,bring,lie
115,pick,much
116,loot,ugly
117,fit,bathroom
118,solution,deport
119,office,sure
120,sister,great
121,wrong,spayandneuteryourliberals
122,intoxicated,become
123,writer,love
124,wing,demokkkrat
125,industry,put
126,kill,show
127,hood,real
128,understanding,government
129,questionable,fact
130,eve,college
131,box,child
132,trail,else
133,welfare,speak
134,pull,mind
135,recitation,control
136,dangerous,lot
137,carroll,force
138,motivation,agree
139,obamasmom,lol
140,long,rickburgoon
141,murderous,ever
142,adult,boy
143,michele,admit
144,smudge,hate
145,strange,ask
146,sometimes,parent
147,blm,anyone
148,contribution,men
149,mexitrash,change
150,allegedly,state
151,religionhas,believe
152,fix,anything
153,aunt,another
154,patient,merkel
155,brag,guess
156,dad,end
157,whybotherwithliberals,spyderia
158,liberalstupidity,long
159,county,behind
160,affirmative,police
161,large,sick
162,basically,member
163,apply,find
164,draw,welfare
165,later,sharia
166,christkiller,build
167,toward,minority
168,kate,well
169,grinch,wrong
170,vaughan,answer
171,track,whitwhitneywhite
172,harder,number
173,junk,rherpes
174,damage,theimmortalone
175,national,sell
176,migrant,rap
177,capable,house
178,rxwhitmergender,expect
179,consider,always
180,screening,day
181,dilligaftoyou,read
182,purport,kid
183,position,wall
184,strauss,murder
185,throw,actually
186,nab,race
187,privileged,arabic
188,largely,leave
189,mongrel,move
190,kneel,future
191,sez,equal
192,chickabalter,god
193,sb,dude
194,inexcusable,course
195,date,everyone
196,dealt,free
197,dominate,swipe
198,mechanic,bring
199,thug,boat
200,would,good
201,gtvone,get
202,grader,go
203,die,day
204,tonight,http
205,meditation,thanks
206,webvisions,love
207,forgive,morning
208,leave,work
209,submit,like
210,audrey,quot
211,chillin,today
212,shaun,twitter
213,tnx,time
214,pix,know
215,gym,well
216,thx,one
217,money,lol
218,push,see
219,negar,think
220,keyboard,make
221,woof,new
222,id,look
223,score,great
224,hub,night
225,loving,back
226,sony,hope
227,wholeheartedly,watch
228,independent,amp
229,phase,nice
230,aussiecynic,come
231,mpesce,haha
232,mia,want
233,korean,happy
234,ncis,yes
235,crappy,really
236,remote,thank
237,million,say
238,high,need
239,limit,oh
240,mistake,wait
241,country,would
242,twitterville,much
243,reach,sleep
244,hun,take
245,bam,fun
246,load,home
247,lip,ca
248,sink,im
249,freebie,thing
250,welp,follow
251,total,tweet
252,danny,people
253,whipped,feel
254,tv,still
255,allllll,try
256,mot,tomorrow
257,wave,awesome
258,hv,yay
259,watching,everyone
260,teddy,glad
261,thursday,welcome
262,til,cool
263,xdcd,yeah
264,ill,hey
265,surround,bed
266,presenter,way
267,rashmibansal,week
268,chuck,friend
269,favourite,best
270,whale,enjoy
271,larryczerwonka,start
272,giant,first
273,burst,right
274,control,last
275,europe,could
276,linux,find
277,youre,listen
278,literally,use
279,officialkat,let
280,stray,sure
281,ummm,tonight
282,hyderabad,na
283,hmmmm,though
284,oooo,ok
285,guykawasaki,read
286,tough,please
287,mostly,always
288,owww,guy
289,pal,do
290,amazin,sound
291,eight,talk
292,break,long
293,weave,wake
294,together,life
295,glorious,tell
296,atebits,help
297,phillies,soon
298,yey,something
299,hiro,miss
300,snow,ready
301,designer,check
302,levimorales,gon
303,scoble,wish
304,smart,hi
305,twin,finally
306,pint,next
307,eventually,hour
308,velocity,show
309,yeyyy,luck
310,justdes,bad
311,kourtneykardash,mean
312,deficit,give
313,mwmyn,maybe
314,chloe,little
315,lucky,lot
316,happy,school
317,toilet,lt
318,suck,birthday
319,hero,song
320,hb,buy
321,sm,post
322,lolll,another
323,heavenlyhev,year
324,word,hello
325,alarm,stuff
326,tho,big
327,whatta,keep
328,greatly,already
329,young,put
330,manda,forward
331,henry,man
332,honestly,music
333,graphic,old
334,pub,pretty
335,ta,never
336,hug,play
337,ozazure,even
338,heard,pic
339,leak,actually
340,eb,call
341,repeat,wow
342,white,coffee
343,alex,hear
344,thats,later
345,french,sun
346,neetball,goodnight
347,mountain,book
348,increase,world
349,joelmadden,ya
350,heres,eat
351,history,mileycyrus
352,dr,girl
353,nectarine,sorry
354,lawyer,movie
355,au,update
356,telly,late
357,atm,cute
358,suprise,ur
359,motorbike,sweet
360,ez,follower
361,liver,leave
362,freeze,finish
363,pimp,video
364,newsletter,name
365,astartiel,yet
366,feast,funny
367,necessary,two
368,ty,lovely
369,timeless,also
370,petesanderson,bit
371,validate,may
372,send,might
373,feed,ask
374,glasgow,live
375,bird,meet
376,factory,plan
377,maam,blog
378,write,hahaha
379,sweeney,run
380,section,beautiful
381,cinema,thats
382,man,god
383,stacijshelton,around
384,another,break
385,hurt,send
386,xxx,head
387,anytime,must
388,gon,guess
389,stu,job
390,nkotb,weekend
391,malta,early
392,xo,house
393,superman,hehe
394,thick,baby
395,style,stay
396,future,ever
397,microsoft,saw
398,fred,stop
399,bergen,idea
400,many,bitch
401,whilst,rt
402,brazilian,faggot
403,iraq,nigger
404,choke,fuck
405,criminal,hoe
406,petty,http
407,rsberto,white
408,stalkin,fag
409,prevent,get
410,political,nigga
411,anthonycumia,trash
412,irri,like
413,jenna,as
414,please,hate
415,spanish,go
416,wo,pussy
417,beauutifulnae,kill
418,prolyy,shit
419,johnny,look
420,theracistdoctor,people
421,yattabing,know
422,rock,say
423,newyorkcity,black
424,karma,lol
425,pop,coon
426,israel,one
427,useemitch,dumb
428,shit,cunt
429,porto,amp
430,deserve,man
431,vatxn,real
432,fucker,want
433,forget,retard
434,chink,call
435,home,gay
436,loyal,need
437,fun,talk
438,oniinebaby,love
439,cocksucker,tell
440,xpoppinwheelies,see
441,page,shut
442,democr,ai
443,coke,girl
444,drunk,fat
445,mail,make
446,chosen,every
447,bout,damn
448,officialskai,eat
449,lebron,fuckin
450,police,spic
451,hipster,right
452,next,still
453,beautiful,wit
454,imma,queer
455,hound,ever
456,beg,racist
457,sayin,jew
458,plank,day
459,shorty,niggah
460,bath,let
461,bore,da
462,hack,mad
463,letsargueboxing,full
464,believe,dont
465,pep,mean
466,ant,fucking
467,whatsoever,stupid
468,hiv,cracker
469,anthonybialy,ca
470,payton,school
471,rileyybryn,big
472,somebody,dyke
473,cant,sick
474,smart,im
475,knockdown,would
476,crack,think
477,liberal,take
478,sunday,ass
479,tweet,monkey
480,vhia,oh
481,use,many
482,hajihuntingpat,time
483,aint,come
484,bro,trust
485,okies,live
486,traitor,state
487,peterpandacat,someone
488,hell,head
489,scale,whitey
490,radar,uncle
491,bend,niggas
492,nigga,america
493,weve,ghetto
494,table,ugly
495,allah,bad
496,swag,dirty
497,panther,good
498,tolerance,run
499,pathetic,face
500,pregnant,ur
501,whitey,year
502,lml,keep
503,nekolin,little
504,nasty,could
505,shoe,show
506,michellemalkin,yo
507,nappy,tom
508,dead,stand
509,simone,never
510,doesnt,kid
511,self,yall
512,pic,woman
513,losangeles,ya
514,door,hope
515,anglo,lil
516,walk,homo
517,think,eye
518,breath,new
519,shop,house
520,text,losangeles
521,unfunny,shoot
522,apache,smh
523,albino,aint
524,show,watch
525,womenlovebrickz,jus
526,defense,cop
527,brother,baby
528,doin,chink
529,americanwhitehm,nig
530,tea,race
531,day,even
532,tehgodclan,color
533,kickin,always
534,kidd,job
535,later,boy
536,shouldnt,old
537,arrest,mother
538,jimmymciver,though
539,stevestockmantx,twitter
540,jrwrz,anything
541,dreaaalove,bout
542,hitler,believe
543,thats,business
544,new,ask
545,anyway,person
546,news,please
547,roll,gang
548,texas,life
549,illiterate,today
550,smasey,shoutout
551,bobby,em
552,spic,do
553,neighbor,anyone
554,ponk,put
555,guard,dis
556,ah,nasty
557,soup,activity
558,disperse,really
559,unofficial,way
560,date,ball
561,cool,play
562,cry,bring
563,denytheprophecy,california
564,last,lt
565,offensive,deport
566,ohio,kike
567,answer,bro
568,house,beautiful
569,military,store
570,den,guy
571,heyyayled,folk
572,jacobbbacker,rape
573,mississippi,speak
574,yellow,hear
575,funky,beat
576,real,back
577,first,grow
578,nomore,ex
579,confronts,stay
580,slit,break
581,error,wetback
582,back,fags
583,even,wear
584,misfit,redneck
585,fitting,americanwhitehm
586,lick,muslim
587,chicothewolf,dress
588,successful,dick
589,host,sorry
590,markroundtreejr,typical
591,bus,care
592,iamkrause,work
593,long,stfu
594,heauxmersimpson,die
595,yoself,self
596,greyyygoose,cuz
597,child,type
598,blonde,pretty
599,dudes,find
